Gaia source ID,RA,DEC,photometric G-band flux (Flux[e^- s^-1]),Parallax(mas),astrometric wobble [e](mas),wobble signifigance,Companion mass (Msun),Companion mass (Msun)[Temp based],Orbital period(days),DM(pc cm^-3),Mass function,Sky Temperature(K),Orbital Separation,Effective temperature[K]
5706693393741858944,128.2913302674799,-19.84135542,12.951824,0.1239470590330859,0.21624108,53.3389,14.126010581643559,6.1,1795.8066907312123,108.4526,11.693346691099762,227.77723083496093,17.603274725834147,18508.01
5715152525116273792,115.07776322543086,-21.35936555,11.645373,0.081456138,0.109929875,16.49037,17.418247916579926,6.1,1519.5404208868115,222.3092,14.922961942692949,397.7366577148438,16.790682546658118,19661.549
5587347694378081280,117.05010432982475,-36.1550899,12.120941,0.10865201028529528,0.121596195,19.795229,14.944360452637385,6.1,978.5040653942292,280.3012,12.493845729949294,427.66375122070315,11.946247756469042,19903.707
5547563794585041408,123.0524392979374,-32.47083415,11.229727,0.10787076147425698,0.19177452,75.49328,14.682225099856511,6.1,1923.3253653702718,345.2936,12.237236723476789,318.0815063476563,18.644511215984057,20210.777
5599350787940569600,114.69772824523017,-29.78469759,12.953184,0.11217579236477943,0.12219858,18.523481,14.95535071307451,6.1,940.4219619504062,232.5191,12.504608045419403,352.88494262695315,11.63685384223193,20592.96
4072377562194078976,282.5349212628004,-26.07720037,13.629105,0.12587693052232787,0.17176609,13.931621,14.207248445707679,6.1,1249.6718569436619,182.0281,11.772731463144629,773.4895874023438,13.847559023675137,20593.346
5612313381506566016,114.37626707272028,-27.02108371,12.855351,0.086215952,0.13648388,24.31619,17.34509682628315,7.3,1922.0696439669607,212.719,14.850969615654401,372.2448974609375,19.61292766433303,21475.229
5599734727969309824,114.90608575905459,-29.58841683,12.449726,0.1182786693598215,0.12300017,23.975523,14.345989661034414,7.3,839.8795022064522,231.6309,11.908350714739322,352.0130249023438,10.656185193082454,21500.732
6734373205322681344,276.07666510115445,-35.69600791,13.4485,0.10507700253502308,0.16601768,17.16455,15.691941283629646,7.3,1727.0168846597185,215.0889,13.226570124760375,847.6792236328125,17.709051618978865,22986.69
5547616399339587840,121.48719234385166,-33.00685994,12.974328,0.10612433168498858,0.14571398,22.0308,15.44405614,7.3,1376.117019313393,347.8764,12.983469269954188,340.4693542480469,15.14675456131961,23898.822
4115748206342644736,258.62879006578305,-21.71057685,14.88725,0.13325206783327637,0.23840761,15.110467,14.103799427555435,9.9,1861.9225840872564,212.053,11.671645461224024,982.5007568359375,18.02412722699962,25079.021
4123001173504539520,261.04891582999437,-17.45506677,13.968552,0.1248237986590568,0.18516226,16.416235,14.376314364201441,11.8,1434.030712994295,207.8114,11.93800013204844,833.2294555664063,15.232619825148452,26785.475
6043015966118678784,239.81405522153432,-27.47585481,13.132623,0.11603849291243609,0.19651997,33.876488,14.72658511966854,11.8,1793.8910208323969,108.782,12.280649302597137,533.4531494140625,17.814704618896243,27473.219
5540299527410044288,124.40184344717602,-38.99847949,14.748431,0.1325930604822646,0.21933639,15.461342,14.106004792441736,11.8,1655.5724791295083,334.7034,11.673800132058078,461.5286499023438,16.66732437495805,28412.023
6764326685199517952,286.9957090128071,-25.20409264,13.713796,0.12715222368913565,0.18803306,17.763174,14.15067110278015,18.7,1403.988785485742,148.8071,11.717442707375914,621.4443603515625,14.947179683589837,32165.621
6485077605356668032,315.0264293687668,-42.64582432,10.735148,0.10715996401515737,0.105824485,14.953655,14.549352029946014,18.7,788.7359449979547,48.2284,12.107232110741888,363.1791625976563,10.262879290540688,32451.678
6043584104396615040,241.19175894996658,-25.97762191,12.414568,0.11316063137290183,0.18791436,52.375813,14.701354758344937,21.9,1738.6373634822762,107.1626,12.255957190460949,522.0371948242188,17.437889819798816,34726.64
6021938637458894464,246.3945281526116,-36.33429134,13.943698,0.12568224010836984,0.17934966,13.523657,14.312836694761572,21.9,1346.8167642962464,232.8455,11.875938903861618,874.5926758,14.588959725663292,34979.777
11,3.157688,10.302451,1,1,1,1,1,1,1,1,1,1,1,1
